student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S00020,Russia,Finland,Turku,University of Turku,Electrical Engineering,Medicine,2022,No,Job Opportunities,2024,Placed,Berkshire Hathaway,74717,3.98,Study Permit,OPT,PTE,8.5
S00021,UK,Canada,Vancouver,Simon Fraser University,Architecture,Medicine,2022,No,Political Stability,2024,Placed,Intel,138947,2.95,Student Visa,OPT,IELTS,6.0
S00022,Canada,South Africa,Johannesburg,University of Johannesburg,Architecture,Business,2019,Yes,Scholarship,2020,Placed,Deloitte,71543,2.74,Schengen Student Visa,OPT,IELTS,6.5
S00023,Germany,UK,Edinburgh,University of Edinburgh,Law,Computer Science,2020,No,Quality of Life,2023,Placed,Microsoft,39364,2.56,Tier 4,PSW,GRE,318.0
S00024,Canada,Finland,Joensuu,University of Eastern Finland,Political Science,Computer Science,2019,No,Political Stability,2022,Placed,Apple,117865,3.76,J1,Post-Study Visa,Duolingo,7.2
S00025,UAE,Russia,Moscow,Moscow Institute of Physics and Technology,Biotechnology,Law,2020,No,Higher Ranking,2022,Placed,Deloitte,78449,2.67,Study Permit,Post-Study Visa,Duolingo,7.9
S00026,Germany,Finland,Tampere,Tampere University,Medicine,Arts,2019,Yes,Political Stability,2022,Placed,Meta Platforms (Facebook),40626,2.92,Tier 4,Post-Study Visa,TOEFL,8.2
S00027,India,Ireland,Galway,National University of Ireland Galway,Medicine,Medicine,2020,No,Quality of Life,2022,Placed,Amazon,77211,2.92,Study Permit,OPT,PTE,7.3
S00028,Finland,UK,London,UCL,Electrical Engineering,Business,2023,Yes,Scholarship,2024,Placed,Amazon,130384,3.78,Student Visa,PSW,GRE,207.0
S00029,Canada,Germany,Aachen,RWTH Aachen,Business Administration,Medicine,2022,No,Quality of Life,2023,Placed,SAP,48936,2.58,Study Permit,Blue Card,IELTS,7.4
S00030,India,South Africa,Johannesburg,University of Johannesburg,Data Science,Engineering,2020,No,Quality of Life,2023,Placed,Google,97998,2.54,Student Visa,OPT,IELTS,5.8
S00031,Russia,UK,London,King's College London,Psychology,Engineering,2020,No,Quality of Life,2023,Placed,Google,81762,3.8,J1,Work Permit,Duolingo,6.9
S00032,Germany,India,Pilani,BITS Pilani,Electrical Engineering,Computer Science,2022,No,Scholarship,2025,Placed,Deloitte,126333,2.52,F1,Post-Study Visa,GRE,207.0
S00033,South Africa,USA,Los Angeles,UCLA,Finance,Natural Sciences,2021,No,Job Opportunities,2023,Placed,Siemens,131755,2.8,F1,Work Permit,PTE,8.3
S00034,South Africa,Finland,Turku,University of Turku,Political Science,Social Sciences,2019,Yes,Quality of Life,2021,Placed,Google,77843,3.11,Schengen Student Visa,PSW,GRE,236.0
S00035,Finland,Germany,Munich,Technical University of Munich,Data Science,Business,2020,Yes,Job Opportunities,2022,Placed,Coca-Cola,64761,3.15,J1,Blue Card,IELTS,6.3
S00036,USA,UAE,Abu Dhabi,Zayed University,Data Science,Natural Sciences,2020,No,Scholarship,2023,Not Placed,,0,3.91,Student Visa,PSW,PTE,7.8
S00037,UAE,UK,Oxford,University of Oxford,Computer Science,Natural Sciences,2021,Yes,Higher Ranking,2023,Placed,Amazon,56895,3.22,J1,PSW,GRE,266.0
S00038,South Africa,Ireland,Galway,National University of Ireland Galway,Medicine,Social Sciences,2020,No,Quality of Life,2023,Placed,Facebook,147376,3.17,Student Visa,Blue Card,TOEFL,7.7
S00039,Canada,India,Bangalore,IISc Bangalore,Law,Business,2021,No,Higher Ranking,2022,Placed,Coca-Cola,30869,3.85,Study Permit,Work Permit,Duolingo,8.5
S00040,Germany,Ireland,Maynooth,Maynooth University,Economics,Law,2022,No,Scholarship,2025,Placed,Tesla,112677,3.34,Tier 4,Post-Study Visa,IELTS,7.0
S00041,Finland,India,Tiruchirappalli,NIT Trichy,Architecture,Arts,2021,Yes,Political Stability,2023,Placed,McKinsey,138648,2.77,Schengen Student Visa,Post-Study Visa,PTE,8.2
S00042,UAE,UK,Birmingham,University of Birmingham,Design,Law,2023,Yes,Scholarship,2025,Placed,Nestle,61552,3.6,Study Permit,Blue Card,GRE,305.0
S00043,USA,UAE,Dubai,Heriot-Watt Dubai,Mechanical Engineering,Medicine,2020,Yes,Scholarship,2023,Placed,Facebook,72107,2.54,Study Permit,PSW,IELTS,6.1
S00044,Ireland,UAE,Dubai,Middlesex University Dubai,Law,Law,2023,No,Higher Ranking,2025,Placed,SAP,112487,2.72,Schengen Student Visa,Blue Card,IELTS,5.5
S00045,Canada,UAE,Dubai,Manipal Academy Dubai,Civil Engineering,Social Sciences,2021,No,Political Stability,2023,Placed,Siemens,96903,3.63,J1,OPT,IELTS,7.9
S00046,South Africa,USA,San Francisco,Stanford University,Finance,Arts,2019,Yes,Job Opportunities,2021,Placed,Shell,31014,3.08,Study Permit,OPT,GRE,297.0
S00047,Ireland,USA,New York,NYU,Design,Arts,2021,Yes,Scholarship,2022,Placed,Toyota,40103,3.37,Study Permit,Blue Card,GRE,262.0
S00048,UK,India,Delhi,JNU Delhi,Political Science,Natural Sciences,2022,No,Job Opportunities,2025,Not Placed,,0,2.6,Study Permit,Work Permit,GRE,271.0
S00049,India,Russia,Novosibirsk,Novosibirsk State University,Computer Science,Social Sciences,2019,No,Political Stability,2022,Placed,Google,129074,2.74,Study Permit,Post-Study Visa,GRE,306.0
S00050,South Africa,UK,London,Imperial College London,Civil Engineering,Law,2019,No,Political Stability,2020,Placed,Saudi Aramco,46986,3.08,Student Visa,OPT,GRE,250.0
S00051,South Africa,India,Chennai,IIT Madras,Electrical Engineering,Social Sciences,2022,Yes,Higher Ranking,2024,Placed,SAP,34817,3.1,F1,Blue Card,TOEFL,5.3
S00052,South Africa,Finland,Tampere,Tampere University,Civil Engineering,Arts,2020,No,Quality of Life,2021,Placed,Toyota,74781,3.93,Schengen Student Visa,Work Permit,TOEFL,6.1
S00053,South Africa,USA,New York,NYU,Psychology,Engineering,2022,Yes,Quality of Life,2025,Placed,Apple,133553,3.83,Schengen Student Visa,Blue Card,PTE,7.9
S00054,UAE,Germany,Berlin,Humboldt University,Medicine,Social Sciences,2019,Yes,Higher Ranking,2022,Not Placed,,0,3.11,Student Visa,Blue Card,PTE,7.4
S00055,India,Finland,Helsinki,University of Helsinki,Finance,Social Sciences,2019,Yes,Scholarship,2021,Placed,Coca-Cola,60471,3.32,F1,Work Permit,Duolingo,7.4
S00056,South Africa,India,Delhi,Delhi University,Biotechnology,Medicine,2022,Yes,Job Opportunities,2025,Placed,Intel,83516,3.63,Tier 4,OPT,TOEFL,5.5
S00057,South Africa,Finland,Lappeenranta,LUT University,Electrical Engineering,Medicine,2023,Yes,Political Stability,2025,Not Placed,,0,3.06,Schengen Student Visa,PSW,TOEFL,7.5
S00058,Ireland,USA,San Francisco,UC Berkeley,Data Science,Medicine,2023,No,Political Stability,2025,Placed,Volkswagen,63458,3.47,F1,OPT,Duolingo,7.0
S00059,Russia,Finland,Espoo,Aalto University,Data Science,Computer Science,2020,No,Job Opportunities,2022,Placed,Nestle,55069,3.34,Tier 4,Work Permit,Duolingo,6.1
S00060,Ireland,India,Delhi,JNU Delhi,Economics,Business,2023,No,Scholarship,2026,Placed,Google,84161,3.02,J1,Work Permit,GRE,253.0
S00061,South Africa,Canada,London,Western University,Architecture,Engineering,2020,Yes,Political Stability,2022,Placed,Saudi Aramco,46873,2.87,F1,Blue Card,TOEFL,7.5
S00062,USA,Russia,Saint Petersburg,Saint Petersburg State University,Data Science,Computer Science,2022,Yes,Political Stability,2023,Placed,McKinsey,51363,3.01,Tier 4,PSW,PTE,7.2
S00063,Russia,UAE,Abu Dhabi,Zayed University,Biotechnology,Law,2023,No,Job Opportunities,2026,Placed,Alphabet (Google),53248,3.07,Tier 4,OPT,GRE,207.0
S00064,Germany,Canada,Toronto,University of Toronto,Civil Engineering,Natural Sciences,2022,Yes,Higher Ranking,2024,Placed,IBM,34218,2.71,F1,Post-Study Visa,IELTS,5.7
S00065,Russia,Germany,Munich,Technical University of Munich,Business Administration,Business,2019,No,Job Opportunities,2020,Placed,Amazon,107669,2.71,Schengen Student Visa,Blue Card,PTE,5.2
S00066,Ireland,UK,London,King's College London,Finance,Arts,2021,Yes,Job Opportunities,2023,Placed,IBM,142540,3.53,Schengen Student Visa,Work Permit,TOEFL,5.7
S00067,UK,USA,Boston,MIT,Medicine,Social Sciences,2023,No,Quality of Life,2025,Placed,Shell,53624,3.25,J1,Post-Study Visa,GRE,213.0
S00068,India,Canada,Ottawa,University of Ottawa,Business Administration,Social Sciences,2019,No,Political Stability,2020,Placed,Facebook,127261,3.24,Study Permit,PSW,TOEFL,6.4
S00069,USA,South Africa,Stellenbosch,Stellenbosch University,Political Science,Natural Sciences,2020,Yes,Political Stability,2022,Placed,Meta Platforms (Facebook),73516,3.99,F1,PSW,TOEFL,7.8
S00070,South Africa,UK,Edinburgh,University of Edinburgh,Business Administration,Arts,2021,No,Higher Ranking,2024,Placed,Amazon,55598,3.11,F1,Post-Study Visa,TOEFL,6.3
S00071,Russia,Finland,Tampere,Tampere University,Design,Business,2019,No,Political Stability,2022,Placed,McKinsey,80641,2.62,Schengen Student Visa,PSW,Duolingo,5.3
S00072,Ireland,Germany,Heidelberg,Heidelberg University,Law,Engineering,2020,No,Higher Ranking,2022,Placed,Tesla,120015,3.53,Student Visa,PSW,TOEFL,5.5
S00073,South Africa,UK,Cambridge,University of Cambridge,Law,Medicine,2023,No,Political Stability,2024,Placed,Apple,57552,3.89,Student Visa,Post-Study Visa,TOEFL,6.8
S00074,Ireland,Finland,Lappeenranta,LUT University,Mechanical Engineering,Computer Science,2023,Yes,Quality of Life,2026,Placed,Apple,73613,3.42,F1,OPT,PTE,6.5
S00075,USA,UAE,Dubai,University of Dubai,Design,Computer Science,2021,Yes,Scholarship,2023,Placed,Tesla,59061,2.6,Student Visa,Blue Card,GRE,284.0
S00076,Canada,Russia,Kazan,Kazan Federal University,Psychology,Computer Science,2021,No,Quality of Life,2023,Placed,Goldman Sachs,149425,2.85,J1,Post-Study Visa,Duolingo,5.1
S00077,India,Canada,Edmonton,University of Alberta,Architecture,Computer Science,2019,Yes,Higher Ranking,2022,Placed,Facebook,63935,3.22,F1,Work Permit,GRE,217.0
S00078,Finland,UAE,Dubai,Middlesex University Dubai,Design,Engineering,2023,Yes,Higher Ranking,2025,Placed,Volkswagen,54170,3.18,Tier 4,Blue Card,TOEFL,6.3
S00079,Canada,UK,Manchester,University of Manchester,Architecture,Computer Science,2022,No,Political Stability,2024,Placed,Google,112160,2.53,Student Visa,OPT,PTE,7.3
S00080,UK,Germany,Berlin,TU Berlin,Data Science,Natural Sciences,2021,No,Job Opportunities,2024,Placed,CVS Health,38024,3.33,Tier 4,PSW,IELTS,7.2
S00081,Germany,India,Pilani,BITS Pilani,Psychology,Medicine,2023,No,Quality of Life,2026,Placed,Tesla,92250,3.09,J1,OPT,Duolingo,7.7
S00082,Russia,India,Delhi,JNU Delhi,Biotechnology,Business,2019,No,Job Opportunities,2020,Placed,Tesla,106963,2.61,Student Visa,Blue Card,PTE,6.0
S00083,Finland,UK,London,Imperial College London,Political Science,Engineering,2023,Yes,Higher Ranking,2026,Placed,Alphabet (Google),46678,2.65,Schengen Student Visa,PSW,Duolingo,8.5
S00084,Canada,USA,New York,NYU,Biotechnology,Natural Sciences,2022,No,Job Opportunities,2024,Placed,Tesla,57256,3.38,Tier 4,PSW,TOEFL,7.4
S00085,UAE,UK,Edinburgh,University of Edinburgh,Electrical Engineering,Engineering,2019,No,Quality of Life,2021,Placed,Google,83047,3.97,F1,Work Permit,Duolingo,6.6
S00086,Ireland,USA,San Francisco,Stanford University,Business Administration,Law,2020,Yes,Job Opportunities,2022,Placed,Microsoft,68256,3.68,Tier 4,OPT,GRE,278.0
S00087,Ireland,USA,Boston,MIT,Business Administration,Law,2021,Yes,Scholarship,2024,Placed,Siemens,63774,3.56,Student Visa,Post-Study Visa,TOEFL,7.6
S00088,Russia,USA,San Francisco,UC Berkeley,Political Science,Business,2021,No,Higher Ranking,2023,Placed,Volkswagen,50411,3.71,Schengen Student Visa,Post-Study Visa,PTE,5.6
S00089,Finland,UAE,Abu Dhabi,Khalifa University,Law,Arts,2020,Yes,Higher Ranking,2023,Not Placed,,0,2.77,Tier 4,Blue Card,TOEFL,5.2
S00090,USA,UK,Cambridge,University of Cambridge,Data Science,Business,2022,No,Political Stability,2023,Not Placed,,0,2.82,Schengen Student Visa,PSW,IELTS,6.4
S00091,Finland,Ireland,Dublin,Technological University Dublin,Architecture,Arts,2022,No,Scholarship,2025,Not Placed,,0,2.77,Tier 4,Post-Study Visa,Duolingo,7.7
S00092,Germany,Russia,Moscow,Moscow Institute of Physics and Technology,Psychology,Medicine,2022,No,Higher Ranking,2023,Placed,Tesla,134172,3.22,Student Visa,Work Permit,IELTS,7.2
S00093,UK,South Africa,Durban,University of KwaZulu-Natal,Design,Engineering,2019,Yes,Political Stability,2021,Placed,Meta Platforms (Facebook),73803,3.62,F1,OPT,IELTS,7.2
S00094,UAE,South Africa,Johannesburg,University of the Witwatersrand,Economics,Social Sciences,2023,No,Higher Ranking,2026,Placed,ExxonMobil,49296,3.24,J1,Work Permit,GRE,220.0
S00095,South Africa,Ireland,Maynooth,Maynooth University,Psychology,Law,2020,No,Job Opportunities,2022,Placed,Apple,122560,2.9,J1,PSW,PTE,5.1
S00096,Finland,USA,Chicago,University of Chicago,Psychology,Arts,2021,No,Higher Ranking,2024,Placed,Volkswagen,56293,3.01,Study Permit,OPT,IELTS,7.7
S00097,Finland,USA,New York,Columbia University,Computer Science,Medicine,2022,No,Quality of Life,2023,Placed,Shell,57172,3.79,J1,OPT,TOEFL,5.7
S00098,Russia,India,Pilani,BITS Pilani,Design,Arts,2021,Yes,Scholarship,2024,Placed,Siemens,51128,3.44,Tier 4,OPT,PTE,5.7
S00099,South Africa,Germany,Berlin,TU Berlin,Law,Social Sciences,2022,No,Higher Ranking,2025,Placed,SAP,59168,3.91,F1,PSW,GRE,300.0
S00100,UK,India,Mumbai,IIT Bombay,Business Administration,Engineering,2023,No,Higher Ranking,2025,Placed,Saudi Aramco,48257,3.52,Tier 4,OPT,Duolingo,6.6
S00101,Germany,Finland,Joensuu,University of Eastern Finland,Economics,Natural Sciences,2019,Yes,Job Opportunities,2022,Placed,IBM,48942,3.15,F1,Post-Study Visa,GRE,213.0
S00102,Finland,UAE,Dubai,University of Dubai,Psychology,Natural Sciences,2020,Yes,Higher Ranking,2021,Placed,Microsoft,57389,3.37,Tier 4,Work Permit,IELTS,5.5
S00103,India,Russia,Moscow,Bauman Moscow State Technical University,Psychology,Law,2019,Yes,Scholarship,2022,Placed,Goldman Sachs,45866,3.85,Schengen Student Visa,Post-Study Visa,GRE,290.0
S00104,Germany,UK,Cambridge,University of Cambridge,Medicine,Computer Science,2022,No,Quality of Life,2024,Placed,Tesla,56343,2.79,Schengen Student Visa,OPT,TOEFL,8.8
S00105,UK,South Africa,Cape Town,University of Cape Town,Political Science,Computer Science,2022,No,Scholarship,2023,Placed,Deloitte,131559,3.29,Tier 4,PSW,PTE,8.2
S00106,Finland,UK,Oxford,University of Oxford,Political Science,Business,2021,Yes,Political Stability,2024,Placed,Deloitte,140986,3.0,J1,Post-Study Visa,IELTS,8.2
S00107,India,USA,Los Angeles,UCLA,Economics,Engineering,2021,No,Higher Ranking,2023,Placed,Goldman Sachs,144597,3.47,J1,Blue Card,Duolingo,5.2
S00108,India,Ireland,Dublin,Trinity College Dublin,Civil Engineering,Computer Science,2022,No,Higher Ranking,2024,Placed,Deloitte,58807,3.36,Study Permit,Post-Study Visa,IELTS,5.5
S00109,India,Finland,Joensuu,University of Eastern Finland,Psychology,Social Sciences,2022,Yes,Political Stability,2024,Placed,Toyota,42855,3.75,J1,PSW,PTE,5.2
S00110,Finland,USA,Chicago,University of Chicago,Medicine,Natural Sciences,2022,No,Higher Ranking,2023,Placed,IBM,107665,2.88,Student Visa,Work Permit,PTE,5.4
S00111,Finland,Germany,Stuttgart,University of Stuttgart,Law,Computer Science,2023,Yes,Scholarship,2026,Placed,Coca-Cola,49642,3.49,J1,PSW,TOEFL,5.1
S00112,Finland,South Africa,Durban,University of KwaZulu-Natal,Mechanical Engineering,Arts,2021,No,Higher Ranking,2023,Placed,Amazon,65585,3.54,Tier 4,Post-Study Visa,IELTS,5.3
S00113,South Africa,Ireland,Galway,National University of Ireland Galway,Civil Engineering,Business,2020,No,Political Stability,2021,Placed,Deloitte,95555,3.15,F1,Post-Study Visa,TOEFL,9.0
S00114,Finland,UK,London,UCL,Data Science,Business,2020,No,Quality of Life,2022,Placed,Deloitte,62747,3.03,F1,Blue Card,PTE,7.3
S00115,Finland,USA,San Francisco,UC Berkeley,Design,Medicine,2021,No,Quality of Life,2022,Not Placed,,0,3.04,F1,Blue Card,PTE,7.9
S00116,USA,Russia,Novosibirsk,Novosibirsk State University,Design,Law,2022,Yes,Job Opportunities,2023,Placed,McKinsey,98698,3.81,F1,Blue Card,TOEFL,6.5
S00117,South Africa,Russia,Moscow,Higher School of Economics,Psychology,Arts,2023,No,Job Opportunities,2025,Placed,Amazon,119341,2.93,Study Permit,Blue Card,Duolingo,6.1
S00118,USA,UAE,Dubai,University of Dubai,Law,Social Sciences,2023,Yes,Political Stability,2025,Placed,UnitedHealth Group,50025,3.95,F1,PSW,GRE,209.0
S00119,Finland,UK,Birmingham,University of Birmingham,Law,Engineering,2023,No,Job Opportunities,2026,Placed,Deloitte,118240,3.08,J1,Post-Study Visa,GRE,231.0
S00120,Canada,Russia,Kazan,Kazan Federal University,Law,Business,2023,Yes,Job Opportunities,2025,Placed,Samsung,34458,3.21,J1,Work Permit,PTE,8.2
S00121,South Africa,USA,New York,NYU,Economics,Medicine,2022,No,Higher Ranking,2023,Placed,SAP,118440,3.51,Tier 4,OPT,IELTS,5.2
S00122,Ireland,Russia,Moscow,Moscow Institute of Physics and Technology,Business Administration,Medicine,2021,Yes,Quality of Life,2022,Placed,Google,72279,3.24,Tier 4,PSW,GRE,209.0
S00123,Germany,UAE,Dubai,University of Dubai,Design,Social Sciences,2022,Yes,Quality of Life,2025,Placed,Siemens,35307,3.71,Tier 4,Post-Study Visa,IELTS,8.0
S00124,South Africa,Russia,Moscow,Higher School of Economics,Data Science,Social Sciences,2022,No,Scholarship,2024,Placed,Microsoft,78980,3.93,Schengen Student Visa,Work Permit,PTE,8.7
S00125,Finland,Ireland,Cork,University College Cork,Electrical Engineering,Engineering,2022,Yes,Scholarship,2024,Placed,Tesla,145270,2.88,J1,Work Permit,TOEFL,7.2
S00126,UAE,South Africa,Stellenbosch,Stellenbosch University,Architecture,Business,2019,No,Job Opportunities,2021,Placed,Deloitte,49023,3.05,Study Permit,Work Permit,GRE,277.0
S00127,Germany,India,Tiruchirappalli,NIT Trichy,Design,Social Sciences,2021,No,Higher Ranking,2022,Not Placed,,0,2.7,F1,Post-Study Visa,TOEFL,8.2
S00128,UAE,India,Delhi,Delhi University,Architecture,Business,2019,No,Scholarship,2020,Placed,Tesla,71701,3.48,Student Visa,Post-Study Visa,TOEFL,6.4
S00129,USA,UAE,Dubai,Middlesex University Dubai,Electrical Engineering,Arts,2021,Yes,Job Opportunities,2023,Placed,Apple,35945,2.85,J1,Post-Study Visa,TOEFL,5.9
S00130,Ireland,UK,London,Imperial College London,Mechanical Engineering,Medicine,2021,Yes,Job Opportunities,2024,Placed,Microsoft,84436,3.76,Study Permit,Work Permit,Duolingo,7.9
S00131,Ireland,USA,New York,NYU,Civil Engineering,Business,2023,No,Quality of Life,2024,Placed,SAP,106776,2.88,Student Visa,Blue Card,PTE,8.3
S00132,India,Germany,Heidelberg,Heidelberg University,Data Science,Business,2023,Yes,Higher Ranking,2024,Placed,UnitedHealth Group,48425,2.75,F1,Blue Card,Duolingo,8.5
S00133,Ireland,USA,Boston,Harvard University,Architecture,Computer Science,2022,Yes,Job Opportunities,2025,Placed,Deloitte,103698,2.63,J1,OPT,IELTS,7.1
S00134,India,UK,Birmingham,University of Birmingham,Law,Computer Science,2021,Yes,Political Stability,2022,Placed,McKinsey,111966,2.86,Schengen Student Visa,Blue Card,GRE,228.0
S00135,Ireland,Germany,Munich,LMU Munich,Civil Engineering,Business,2023,Yes,Scholarship,2024,Placed,Shell,79831,3.33,Student Visa,PSW,GRE,221.0
S00136,USA,Canada,Montreal,McGill University,Data Science,Medicine,2022,Yes,Higher Ranking,2025,Placed,Google,114986,2.67,Tier 4,PSW,GRE,205.0
S00137,Finland,India,Mumbai,IIT Bombay,Civil Engineering,Natural Sciences,2021,Yes,Political Stability,2022,Placed,SAP,86902,2.97,Study Permit,Post-Study Visa,Duolingo,7.7
S00138,Ireland,Russia,Kazan,Kazan Federal University,Architecture,Arts,2019,No,Political Stability,2020,Placed,SAP,109316,3.1,Student Visa,PSW,PTE,7.5
S00139,India,UAE,Dubai,University of Dubai,Law,Medicine,2020,No,Scholarship,2021,Placed,IBM,117772,2.55,Tier 4,Post-Study Visa,TOEFL,5.7
S00140,USA,India,Chennai,IIT Madras,Political Science,Social Sciences,2020,Yes,Quality of Life,2021,Placed,Samsung,73427,3.86,Tier 4,Blue Card,TOEFL,7.4
S00141,Ireland,UAE,Dubai,Heriot-Watt Dubai,Political Science,Social Sciences,2019,Yes,Job Opportunities,2022,Placed,Amazon,136531,3.63,Schengen Student Visa,Post-Study Visa,IELTS,5.9
S00142,Canada,India,Delhi,JNU Delhi,Civil Engineering,Business,2022,Yes,Quality of Life,2024,Placed,Tesla,60042,2.55,F1,PSW,TOEFL,8.4
S00143,USA,India,Tiruchirappalli,NIT Trichy,Architecture,Law,2022,Yes,Scholarship,2023,Placed,Apple,110655,2.83,J1,Blue Card,GRE,312.0
S00144,Russia,UAE,Dubai,University of Dubai,Political Science,Social Sciences,2019,No,Job Opportunities,2021,Placed,IBM,44783,3.72,J1,PSW,IELTS,7.8
S00145,UK,India,Tiruchirappalli,NIT Trichy,Mechanical Engineering,Business,2023,Yes,Higher Ranking,2025,Placed,Intel,91543,3.07,F1,Work Permit,Duolingo,6.2
S00146,Canada,UAE,Abu Dhabi,Zayed University,Architecture,Law,2020,No,Political Stability,2023,Placed,CVS Health,58273,2.55,F1,OPT,Duolingo,8.9
S00147,Russia,UAE,Sharjah,American University of Sharjah,Design,Medicine,2020,Yes,Political Stability,2021,Placed,ExxonMobil,68506,2.78,Tier 4,Post-Study Visa,TOEFL,5.4
S00148,Russia,Ireland,Maynooth,Maynooth University,Political Science,Law,2022,Yes,Quality of Life,2025,Placed,Goldman Sachs,31249,2.57,F1,Post-Study Visa,IELTS,8.6
S00149,Germany,Canada,Vancouver,Simon Fraser University,Architecture,Social Sciences,2021,No,Political Stability,2023,Placed,Goldman Sachs,35668,2.91,Tier 4,PSW,Duolingo,8.4
S00150,Germany,South Africa,Stellenbosch,Stellenbosch University,Architecture,Computer Science,2020,Yes,Job Opportunities,2023,Placed,Microsoft,55934,2.94,J1,Work Permit,Duolingo,6.7
S00151,Finland,USA,San Francisco,Stanford University,Mechanical Engineering,Arts,2023,Yes,Job Opportunities,2026,Placed,Walmart,77195,3.91,J1,Work Permit,TOEFL,7.9
S00152,Canada,UAE,Dubai,Manipal Academy Dubai,Design,Medicine,2023,Yes,Higher Ranking,2024,Placed,Amazon,123153,3.62,Schengen Student Visa,Blue Card,TOEFL,7.8
S00153,UK,South Africa,Pretoria,University of Pretoria,Law,Computer Science,2021,No,Quality of Life,2024,Placed,Microsoft,54951,2.54,Student Visa,PSW,GRE,298.0
S00154,Canada,UK,Birmingham,University of Birmingham,Economics,Law,2022,No,Job Opportunities,2023,Placed,Saudi Aramco,37697,3.18,Student Visa,Work Permit,PTE,6.3
S00155,Germany,UAE,Sharjah,American University of Sharjah,Psychology,Arts,2020,No,Quality of Life,2021,Placed,Goldman Sachs,54417,3.18,F1,Work Permit,IELTS,8.5
S00156,Germany,UK,London,UCL,Civil Engineering,Social Sciences,2019,No,Higher Ranking,2020,Placed,JPMorgan Chase,46446,2.98,Study Permit,Post-Study Visa,GRE,285.0
